Name,Cases,Deaths,Code,Latitude,Longitude,Population,Area,Demographic_Density,"Hospital beds (per 1,000 people)",Population ages 65 and above (% of total population),Urban population (% of total population),Deaths_per_mil
Slovakia,1521,28,SVK,48.66666666,19.5,5426252.0,49037.0,110.65627995187307,5.8,15.629246504777,53.726,Below
Slovenia,1473,108,SVN,46.11666666,14.81666666,2064188.0,20273.0,101.81956296552065,4.6,19.6068796541788,54.541,Below
Somalia,1916,73,SOM,10.0,49.0,11079000.0,637657.0,17.374544621951927,0.9,2.87331094294556,44.971,Below
South Africa,30967,643,ZAF,-29.0,24.0,55653654.0,1221037.0,45.57900702435717,2.8,5.31800500542302,66.355,Below
Spain,239228,27125,ESP,40.0,-4.0,46438422.0,505992.0,91.77698856898924,3.0,19.3785075224995,80.321,Above
Sri Lanka,1620,10,LKA,7.0,81.0,20966000.0,65610.0,319.55494589239447,3.6,10.4732197537841,18.476,Below
Sudan,4800,262,SDN,15.0,30.0,39598700.0,1886068.0,20.995372383180246,0.8,3.58116052825144,34.642,Below
Suriname,14,1,SUR,4.0,-56.0,541638.0,163820.0,3.3062995971187887,3.1,6.90636990225525,66.06,Below
Sweden,37113,4395,SWE,62.0,15.0,9894888.0,450295.0,21.97423466838406,2.6,20.0955249278002,87.431,Above
Switzerland,30845,1919,CHE,47.0,8.0,8341600.0,41284.0,202.05406452863096,4.7,18.6232165647717,73.797,Above
Thailand,3077,57,THA,15.0,100.0,65327652.0,513120.0,127.31456969130028,2.1,11.9008931395893,49.949,Below
Togo,433,13,TGO,8.0,1.16666666,7143000.0,56785.0,125.79026151272343,0.7,2.86946801108822,41.702,Below
Trinidad and Tobago,117,8,TTO,11.0,-61.0,1349667.0,5130.0,263.09298245614036,3.0,10.7349535163324,53.184,Below
Tunisia,1076,48,TUN,34.0,9.0,11154400.0,163610.0,68.17676181162521,2.3,8.31567907898877,68.945,Below
Turkey,163103,4515,TUR,39.0,35.0,78741053.0,783562.0,100.49115832569727,2.7,8.4832129399716,75.143,Below
Uganda,413,0,UGA,1.0,32.0,33860700.0,241550.0,140.18091492444628,0.5,1.94098692046317,23.774,Below
Ukraine,23204,696,UKR,49.0,32.0,42692393.0,603700.0,70.71789464966042,8.8,16.4346864392016,69.352,Below
United Arab Emirates,33896,262,ARE,24.0,54.0,9856000.0,83600.0,117.89473684210526,1.2,1.08500098484481,86.522,Below
Uruguay,821,22,URY,-33.0,-56.0,3480222.0,181034.0,19.22413469293061,2.8,14.8145195308593,95.334,Below
United States of America,1770165,103776,USA,38.0,-97.0,323947000.0,9629091.0,33.64253178207579,2.9,15.8076540556035,82.256,Above
Uzbekistan,3546,14,UZB,41.0,64.0,31576400.0,447400.0,70.5775592311131,4.0,4.4191378781364,50.478,Below
Zambia,1057,7,ZMB,-15.0,30.0,15933883.0,752612.0,21.171444250158117,2.0,2.09967802593266,43.521,Below
Zimbabwe,174,4,ZWE,-20.0,30.0,14240168.0,390757.0,36.44251542518752,1.7,2.93952365300113,32.209,Below
Grenada,23,0,GRD,12.11666666,-61.66666666,103328.0,344.0,300.3720930232558,3.7,9.62190679562869,36.272,Below
Mozambique,244,0,MOZ,-18.25,35.0,26423700.0,801590.0,32.96410883369303,0.7,2.8907644574499,35.988,Below
Timor-Leste,24,4,TLS,-8.83333333,125.91666666,1167242.0,14874.0,78.47532607234099,5.9,4.31649229400603,30.578,Below
Belize,18,0,BLZ,17.25,-88.75,370300.0,22966.0,16.123835234694766,1.3,4.73645877657144,45.724,Below
Libya,130,0,LBY,25.0,17.0,6385000.0,1759540.0,3.6287893426691067,3.7,4.39204025898401,80.102,Below
Guinea-Bissau,1256,3,GNB,12.0,-15.0,1547777.0,36125.0,42.845038062283734,1.0,2.82371633615269,43.36,Below
Mali,1250,8,MLI,17.0,-4.0,18135000.0,1240192.0,14.62273583445144,0.1,2.50722975755683,42.356,Below
Botswana,35,6,BWA,-22.0,24.0,2141206.0,582000.0,3.6790481099656356,1.8,4.22387434629301,69.446,Below
Burundi,63,2,BDI,-3.5,30.0,10114505.0,27834.0,363.3866853488539,0.8,2.24694046033717,13.032,Below
Sierra Leone,852,2,SLE,8.5,-11.5,7075641.0,71740.0,98.62895177028157,0.4,2.96655621131612,42.055,Below
Malawi,279,1,MWI,-13.5,34.0,16832910.0,118484.0,142.06905573748355,1.3,2.64543493031032,16.937,Below
Sao Tome and Principe,479,0,STP,1.0,7.0,187356.0,964.0,194.35269709543567,2.9,2.9256781090661,72.803,Below
Yemen,310,4,YEM,15.0,48.0,27478000.0,527968.0,52.04482089823626,0.7,2.87626975604452,36.642,Below
Comoros,106,0,COM,-12.16666666,44.25,806153.0,1862.0,432.9500537056928,2.2,3.00700930649436,28.965,Below
